zipcode,statecode,county,city_town,climate Zone
02357,MA,BRISTOL,NORTH EASTON,5A
02358,MA,PLYMOUTH,NORTH PEMBROKE,5A
02359,MA,PLYMOUTH,PEMBROKE,5A
02360,MA,PLYMOUTH,PLYMOUTH,5A
02361,MA,PLYMOUTH,PLYMOUTH,5A
02362,MA,PLYMOUTH,PLYMOUTH,5A
02364,MA,PLYMOUTH,KINGSTON,5A
02366,MA,PLYMOUTH,SOUTH CARVER,5A
02367,MA,PLYMOUTH,PLYMPTON,5A
02368,MA,NORFOLK,RANDOLPH,5A
02370,MA,PLYMOUTH,ROCKLAND,5A
02375,MA,BRISTOL,SOUTH EASTON,5A
02379,MA,PLYMOUTH,WEST BRIDGEWATER,5A
02381,MA,PLYMOUTH,WHITE HORSE BEACH,5A
02382,MA,PLYMOUTH,WHITMAN,5A
02420,MA,MIDDLESEX,LEXINGTON,5A
02421,MA,MIDDLESEX,LEXINGTON,5A
02445,MA,NORFOLK,BROOKLINE,5A
02446,MA,NORFOLK,BROOKLINE,5A
02447,MA,NORFOLK,BROOKLINE VILLAGE,5A
02451,MA,MIDDLESEX,WALTHAM,5A
02452,MA,MIDDLESEX,WALTHAM,5A
02453,MA,MIDDLESEX,WALTHAM,5A
02454,MA,MIDDLESEX,WALTHAM,5A
02455,MA,MIDDLESEX,NORTH WALTHAM,5A
02456,MA,MIDDLESEX,NEW TOWN,5A
02457,MA,NORFOLK,BABSON PARK,5A
02458,MA,MIDDLESEX,NEWTON,5A
02459,MA,MIDDLESEX,NEWTON CENTER,5A
02460,MA,MIDDLESEX,NEWTONVILLE,5A
02461,MA,MIDDLESEX,NEWTON HIGHLANDS,5A
02462,MA,MIDDLESEX,NEWTON LOWER FALLS,5A
02464,MA,MIDDLESEX,NEWTON UPPER FALLS,5A
02465,MA,MIDDLESEX,WEST NEWTON,5A
02466,MA,MIDDLESEX,AUBURNDALE,5A
02467,MA,MIDDLESEX,CHESTNUT HILL,5A
02468,MA,MIDDLESEX,WABAN,5A
02471,MA,MIDDLESEX,WATERTOWN,5A
02472,MA,MIDDLESEX,WATERTOWN,5A
02474,MA,MIDDLESEX,ARLINGTON,5A
02475,MA,MIDDLESEX,ARLINGTON HEIGHTS,5A
02476,MA,MIDDLESEX,ARLINGTON,5A
02478,MA,MIDDLESEX,BELMONT,5A
02479,MA,MIDDLESEX,WAVERLEY,5A
02481,MA,NORFOLK,WELLESLEY HILLS,5A
